"city","month","year","new_monthly_avg","date","meanpm25","Frost_Day_Frequency","Precipitation","Mean_Temperature","Vapor_Pressure","Cloud_Cover_Percentage","pop","gdp","lr_op","temp","lr_month","fdf2","p2","mt2","vp2","ccp2","pop2","gdp2"
"Minneapolis",1,2001,14.3529924189809,"2001-01-01",3.94914530080736,30.8400001525879,33.4000015258789,-7.80000019073486,3,65,3024.111,140695.819,0,24013,-41,951.105609411622,1115.56010192871,60.8400029754638,9,4225,9145247.340321,19795313484.0808
"Minneapolis",1,2002,10.1253242407251,"2002-01-01",3.00854699799202,29.9799995422363,8.40000057220459,-4.90000009536743,3.20000004768372,65,3053.303,144892.539,0,24025,-29,898.800372552489,70.5600096130374,24.0100009346008,10.2400003051758,4225,9322659.209809,20993847857.8665
"Minneapolis",1,2003,9.67167293168509,"2003-01-01",3.12905982614328,31,6.90000009536743,-9.90000057220459,2,67.2000045776367,3078.253,154369.671,0,24037,-17,961,47.6100013160705,98.0100113296512,4,4515.84061523439,9475641.532009,23829995324.6482
"Minneapolis",1,2004,10.9934393675389,"2004-01-01",3.30662392393455,31,10.1999998092651,-11.5,1.89999997615814,67.3000030517578,3106.569,165416.53,0,24049,-5,961,104.039996109008,132.25,3.60999990940093,4529.29041076661,9650770.951761,27362628397.2409
"Minneapolis",1,2005,15.3240308692937,"2005-01-01",4.83226495328494,31,28.3000011444092,-10.1000003814697,2.29999995231628,69.7000045776367,3132.772,176747.829,1,24061,7,961,800.890064773562,102.010007705688,5.28999978065489,4858.09063812258,9814260.403984,31239795056.2132
"Minneapolis",1,2006,10.1949222549848,"2006-01-01",4.23632478177484,27.5900001525879,14.6000003814697,-2.20000004768372,4.09999990463257,70.4000015258789,3167.666,180933.17,1,24073,19,761.2081084198,213.160011138915,4.84000020980837,16.8099992179871,4956.16021484375,10034107.887556,32736812006.2489
"Minneapolis",1,2007,10.5470428136806,"2007-01-01",3.82307692215992,30.8799991607666,17.7000007629395,-8.10000038146973,2.60000014305115,68.9000015258789,3204.196,188527.274,1,24085,31,953.574348168946,313.290027008059,65.6100061798098,6.760000743866,4747.21021026612,10266872.006416,35542533041.8711
"Minneapolis",1,2008,13.9347255562868,"2008-01-01",5.21794873020716,31,6.70000028610229,-11,2.29999995231628,67.5,3237.612,190205.069,1,24097,43,961,44.8900038337708,121,5.28999978065489,4556.25,10482131.462544,36177968273.2948
"Minneapolis",1,2009,13.758195339509,"2009-01-01",5.1893162350847,31,11.3000001907349,-12.9000005722046,1.60000002384186,64.9000015258789,3269.814,186323.291,1,24109,55,961,127.690004310609,166.410014762879,2.56000007629395,4212.01019805908,10691683.594596,34716368769.0707
"Minneapolis",1,2010,14.527150664296,"2010-01-01",3.21730768330331,31,17.1000003814697,-11.3000001907349,2.10000014305115,70.9000015258789,3340.07,193513.287,1,24121,67,961,292.410013046264,127.690004310609,4.41000060081485,5026.81021636963,11156067.6049,37447392245.5444
"Minneapolis",1,2011,14.6886107819676,"2011-01-01",3.6790598353578,31,26.8999996185303,-11.4000005722046,1.80000007152557,69.8000030517578,3373.773,202332.22,1,24133,79,961,723.60997947693,129.960013046265,3.24000025749206,4872.0404260254,11382344.255529,40938327250.1284
"Minneapolis",1,2012,8.47904891365805,"2012-01-01",3.79102563775248,30.3400001525879,15.6999998092651,-5.59999990463257,3,66.4000015258789,3406.567,210304.679,1,24145,91,920.515609259034,246.489994010924,31.3599989318848,9,4408.96020263672,11604698.725489,44228058009.293
"Minneapolis",1,2013,8.22018832898403,"2013-01-01",3.87435897084701,30.9799995422363,24.3000011444092,-8.30000019073486,2.60000014305115,66.4000015258789,3441.688,219793.327,1,24157,103,959.760371636961,590.490055618288,68.8900031661987,6.760000743866,4408.96020263672,11845216.289344,48309106593.7289
"Minneapolis",1,2014,7.51957503070601,"2014-01-01",3.99893161839145,31,21.7000007629395,-13.6999998092651,1.60000002384186,61.7000007629395,3477.325,232315.465,1,24169,115,961,470.890033111575,187.689994773864,2.56000007629395,3806.89009414674,12091789.155625,53970475278.1662
"Minneapolis",1,2015,10.6310599192217,"2015-01-01",4.0852564068941,30.7799987792969,14.6999998092651,-7.70000028610229,2.79999995231628,69.5,3505.122,241312.263,1,24181,127,947.408324853519,216.089994392394,59.2900044059753,7.83999973297117,4830.25,12285880.234884,58231608274.1812
"Minneapolis",1,2016,11.6878311002024,"2016-01-01",3.67264955234515,30.8999996185303,14.3000001907349,-8.60000038146973,2.70000004768372,70.9000015258789,3540.411,247968.009,1,24193,139,954.809976425173,204.490005455018,73.9600065612795,7.29000025749209,5026.81021636963,12534510.048921,61488133487.4241
"Minneapolis",10,2001,8.83342286198916,"2001-10-01",4.35940169848693,9.51999950408936,28.7000007629395,9,7.80000019073486,62.5,3024.111,140695.819,0,24022,-32,90.6303905578617,823.690043792728,81,60.8400029754638,3906.25,9145247.340321,19795313484.0808
"Minneapolis",10,2002,8.05698679556391,"2002-10-01",3.33910255301266,14.7199993133545,104.5,5.70000028610229,6.70000028610229,62.5,3053.303,144892.539,0,24034,-20,216.678379785157,10920.25,32.4900032615662,44.8900038337708,3906.25,9322659.209809,20993847857.8665
"Minneapolis",10,2003,8.86280069016947,"2003-10-01",6.21175214571831,7.83999967575073,18.6000003814697,10.3000001907349,8.10000038146973,60.5,3078.253,154369.671,0,24046,-8,61.4655949157715,345.960014190673,106.090003929139,65.6100061798098,3660.25,9475641.532009,23829995324.6482
"Minneapolis",10,2004,9.3904444391353,"2004-10-01",4.92478633843935,5.6399998664856,56.9000015258789,10.1000003814697,9.19999980926514,68.9000015258789,3106.569,165416.53,1,24058,4,31.8095984939576,3237.61017364502,102.010007705688,84.6399964904786,4747.21021026612,9650770.951761,27362628397.2409
"Minneapolis",10,2005,9.12641551312571,"2005-10-01",5.82649573136089,5.42999982833862,77.8000030517578,10.8000001907349,9.30000019073486,64.3000030517578,3132.772,176747.829,1,24070,16,29.4848981357574,6052.84047485352,116.640004119874,86.4900035476684,4134.49039245606,9814260.403984,31239795056.2132
"Minneapolis",10,2006,7.21194243633344,"2006-10-01",3.67029914450951,12.0699996948242,14.6000003814697,7.70000028610229,7,66.5,3167.666,180933.17,1,24082,28,145.684892633056,213.160011138915,59.2900044059753,49,4422.25,10034107.887556,32736812006.2489
"Minneapolis",10,2007,8.27546316306098,"2007-10-01",4.78803418207373,1.77999997138977,112.900001525879,12.1999998092651,10.1999998092651,70.5999984741211,3204.196,188527.274,1,24094,40,3.16839989814758,12746.4103445435,148.839995346068,104.039996109008,4984.3597845459,10266872.006416,35542533041.8711
"Minneapolis",10,2008,8.63114915953003,"2008-10-01",3.49914529626695,6.71000003814697,53.2000007629395,10,8.10000038146973,65.5999984741211,3237.612,190205.069,1,24106,52,45.0241005119323,2830.24008117676,100,65.6100061798098,4303.35979980469,10482131.462544,36177968273.2948
"Minneapolis",10,2009,5.98423362144177,"2009-10-01",2.65064102369878,11.5500001907349,136.900009155273,6.40000009536743,7.09999990463257,77.5999984741211,3269.814,186323.291,1,24118,64,133.402504405976,18741.6125067138,40.9600012207031,50.4099986457825,6021.7597631836,10691683.594596,34716368769.0707
